sentence,labelled,vectors
"A highly multiethnic country, Angola's 25","A highly multiethnic country, Angola's 25","A highly multiethnic country, Angola's 25"
"Angolan culture reflects centuries of Portuguese rule, in the predominance of the Portuguese language and of the Catholic Church","Angolan culture reflects centuries of Portuguese rule, in the predominance of the Portuguese language and of the Catholic Church","Angolan culture reflects centuries of Portuguese rule, in the predominance of the Portuguese language and of the Catholic Church"
"American Samoa is an unincorporated territory of the United States located in the South Pacific Ocean, southeast of Samoa","American Samoa is an unincorporated territory of the United States located in the South Pacific Ocean, southeast of Samoa","American Samoa is an unincorporated territory of the United States located in the South Pacific Ocean, southeast of Samoa"
American Samoa consists of five main islands and two coral atolls,American Samoa consists of five main islands and two coral atolls,American Samoa consists of five main islands and two coral atolls
American Samoa is the southernmost territory of the U,American Samoa is the southernmost territory of the U,American Samoa is the southernmost territory of the U
"During the 1918 flu pandemic, Governor John Martin Poyer quarantined the territory, and because of his actions, American Samoa was one of the few places in the world where no flu-related deaths occurred","During the 1918 flu pandemic, Governor John Martin Poyer quarantined the territory, and because of his actions, American Samoa was one of the few places in the world where no flu-related deaths occurred","During the 1918 flu pandemic, Governor John Martin Poyer quarantined the territory, and because of his actions, American Samoa was one of the few places in the world where no flu-related deaths occurred"
American Samoa is noted for having the highest rate of military enlistment of any U,American Samoa is noted for having the highest rate of military enlistment of any U,American Samoa is noted for having the highest rate of military enlistment of any U
Most American Samoans are bilingual and can speak English and Samoan fluently,Most American Samoans are bilingual and can speak English and Samoan fluently,Most American Samoans are bilingual and can speak English and Samoan fluently
"Argentina , is a federal republic in the southern portion of South America","Argentina , is a federal republic in the southern portion of South America","Argentina , is a federal republic in the southern portion of South America"
"With a mainland area of 2,780,400 km2 , Argentina is the eighth-largest country in the world, the second largest in Latin America, and the largest Spanish-speaking nation","With a mainland area of 2,780,400 km2 , Argentina is the eighth-largest country in the world, the second largest in Latin America, and the largest Spanish-speaking nation","With a mainland area of 2,780,400 km2 , Argentina is the eighth-largest country in the world, the second largest in Latin America, and the largest Spanish-speaking nation"
"Argentina claims sovereignty over part of Antarctica, the Falkland Islands , and South Georgia and the South Sandwich Islands","Argentina claims sovereignty over part of Antarctica, the Falkland Islands , and South Georgia and the South Sandwich Islands","Argentina claims sovereignty over part of Antarctica, the Falkland Islands , and South Georgia and the South Sandwich Islands"
The earliest recorded human presence in the area of modern-day Argentina dates back to the Paleolithic period,The earliest recorded human presence in the area of modern-day Argentina dates back to the Paleolithic period,The earliest recorded human presence in the area of modern-day Argentina dates back to the Paleolithic period
"Argentina rose as the successor state of the Viceroyalty of the Río de la Plata, a Spanish overseas viceroyalty founded in 1776","Argentina rose as the successor state of the Viceroyalty of the Río de la Plata, a Spanish overseas viceroyalty founded in 1776","Argentina rose as the successor state of the Viceroyalty of the Río de la Plata, a Spanish overseas viceroyalty founded in 1776"
The almost-unparalleled increase in prosperity led to Argentina becoming the seventh wealthiest developed nation in the world by the early 20th century,The almost-unparalleled increase in prosperity led to Argentina becoming the seventh wealthiest developed nation in the world by the early 20th century,The almost-unparalleled increase in prosperity led to Argentina becoming the seventh wealthiest developed nation in the world by the early 20th century
"After 1930, Argentina descended into political instability and periodic economic crises that pushed it back into underdevelopment, though it nevertheless remained among the fifteen richest countries until the mid-20th century","After 1930, Argentina descended into political instability and periodic economic crises that pushed it back into underdevelopment, though it nevertheless remained among the fifteen richest countries until the mid-20th century","After 1930, Argentina descended into political instability and periodic economic crises that pushed it back into underdevelopment, though it nevertheless remained among the fifteen richest countries until the mid-20th century"
